Year,ICPSR State Code,Alphanumeric State Code,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
1998,36,35,North Dakota,0.46,0.45,0.44,217584,213358,475629,481790,0.01,915,0,0,915,
1998,24,36,Ohio,0.43,0.41,0.4,3534782,3404351,8237516,8424249,0.02,48450,0,0,48450,
1998,53,37,Oklahoma,,0.36,0.35,,873585,2415036,2518285,0.03,20892,29093,1532,36971,
1998,72,38,Oregon,0.49,0.47,0.44,1160400,1117747,2370381,2526500,0.06,8927,0,0,8927,
1998,14,39,Pennsylvania,,0.33,0.33,,3025152,9075961,9314795,0.02,36377,0,0,36377,
1998,5,40,Rhode Island,0.43,0.42,0.39,309835,306445,723772,790726,0.07,3445,21049,432,14402,
1998,48,41,South Carolina,0.39,0.38,0.37,1092430,1077135,2825173,2931120,0.02,21764,46482,4404,49409,
1998,37,42,South Dakota,0.5,0.49,0.48,266355,262111,534711,543074,0.01,2422,0,0,2422,
1998,54,43,Tennessee,0.25,0.24,0.23,1026017,976236,4092745,4217608,0.02,17738,38924,7605,44805,
1998,49,44,Texas,,0.3,0.26,,3738078,12490423,14504988,0.11,144510,443688,109820,476174,
1998,67,45,Utah,0.37,0.36,0.34,506553,494909,1381989,1467078,0.06,4453,0,0,4453,
1998,6,46,Vermont,0.5,0.49,0.48,224382,218120,444772,453574,0.02,0,0,0,0,
1998,40,47,Virginia,,0.23,0.22,,1148861,4900523,5222121,0.05,30276,30576,6700,52264,
1998,73,48,Washington,0.49,0.48,0.44,1939421,1902482,3930400,4294765,0.06,14161,152140,375,90606,
1998,56,49,West Virginia,0.29,0.25,0.25,405139,351277,1388176,1403549,0.01,3478,6511,975,7709,
1998,25,50,Wisconsin,,0.46,0.45,,1760836,3801514,3945060,0.02,18613,54232,9282,55011,
1998,68,51,Wyoming,0.51,0.5,0.49,178401,174888,350136,359119,0.01,1571,3825,448,3932,
1996,0,0,United States,,0.52,0.48,,96262935,186347044,200015917,0.07,1162253,1865990,491165,2586413,2499256
1996,41,1,Alabama,,0.49,0.48,,1534349,3144249,3227688,0.01,21760,37865,4966,45659,
1996,81,2,Alaska,0.61,0.6,0.57,245212,241620,404180,423702,0.03,3716,3999,642,6358,
1996,61,3,Arizona,0.47,0.46,0.41,1431342,1404405,3079908,3414380,0.08,22493,40607,3785,46582,
1996,42,4,Arkansas,,0.48,0.47,,884262,1844689,1903094,0.02,9407,25178,5459,27455,
1996,71,5,California,0.55,0.54,0.43,10263490,10019484,18644593,23076427,0.18,146049,0,99578,245627,
1996,62,6,Colorado,,0.55,0.51,,1510704,2770252,2939929,0.05,12483,0,3294,15777,
1996,1,7,Connecticut,0.6,0.6,0.55,1410746,1392614,2337160,2528212,0.06,15007,55978,1083,44079,
1996,11,8,Delaware,0.53,0.51,0.48,277418,270810,528630,559598,0.03,5110,16528,591,13965,
1996,55,9,District of Columbia,0.47,0.47,0.41,189210,185726,398839,450182,0.09,9376,0,0,9376,
1996,43,10,Florida,0.53,0.52,0.46,5444245,5300927,10219294,11509122,0.1,63763,237117,9243,191565,
1996,44,11,Georgia,0.46,0.44,0.41,2374650,2298899,5181708,5555577,0.04,35139,143457,21146,128014,
1996,82,12,Hawaii,0.45,0.44,0.4,370230,360120,820055,895753,0.08,4011,0,0,4011,
1996,63,13,Idaho,0.62,0.59,0.57,508030,489481,825329,856420,0.03,3832,0,0,3832,
1996,21,14,Illinois,0.54,0.53,0.48,4418270,4311391,8215662,8927254,0.08,38852,0,0,38852,
1996,22,15,Indiana,0.51,0.5,0.49,2195224,2135431,4302745,4397367,0.02,16960,0,0,16960,
1996,31,16,Iowa,0.6,0.59,0.57,1251983,1234075,2098332,2154320,0.02,6342,15386,2200,16235,
1996,32,17,Kansas,0.58,0.57,0.55,1073520,1063452,1856507,1922601,0.03,7756,0,0,7756,
1996,51,18,Kentucky,0.49,0.48,0.47,1419592,1388707,2880808,2938362,0.01,12910,11689,4621,23376,
1996,45,19,Louisiana,0.58,0.58,0.56,1804640,1783959,3087693,3163302,0.02,26776,0,0,26776,
1996,2,20,Maine,,0.65,0.64,,605897,929970,944106,0.02,0,0,0,0,
1996,52,21,Maryland,0.51,0.5,0.47,1793991,1780870,3530148,3817454,0.06,22050,70553,16246,73573,
1996,3,22,Massachusetts,0.59,0.58,0.54,2600278,2559180,4385268,4723380,0.07,0,0,0,0,
1996,23,23,Michigan,0.56,0.55,0.53,3912261,3848844,6954059,7201527,0.03,42349,0,0,42349,
1996,33,24,Minnesota,0.67,0.66,0.63,2211161,2192640,3319509,3473117,0.03,5158,90202,2377,52636,
1996,46,25,Mississippi,,0.46,0.45,,893857,1949309,1986327,0.01,13859,10376,1326,20373,
1996,34,26,Missouri,,0.55,0.54,,2158065,3919885,4035666,0.02,22003,42386,13087,56283,
1996,64,27,Montana,0.65,0.63,0.62,417232,407083,645052,652991,0.01,2293,0,0,2293,
1996,35,28,Nebraska,0.58,0.57,0.55,686749,677415,1188034,1230047,0.03,3287,14363,688,11157,
1996,65,29,Nevada,0.41,0.41,0.37,467657,464279,1134065,1271617,0.1,8439,9760,3216,16535,
1996,4,30,New Hampshire,0.6,0.58,0.57,513700,499053,855287,878569,0.02,2062,0,0,2062,
1996,12,31,New Jersey,0.57,0.56,0.5,3105110,3075860,5456334,6152216,0.1,27490,125881,14545,104976,
1996,66,32,New Mexico,0.5,0.47,0.45,579763,556074,1172262,1249597,0.05,4724,8903,1426,10602,
1996,13,33,New York,0.53,0.52,0.45,6439129,6316129,12175850,13942462,0.12,69709,0,57137,126846,
1996,47,34,North Carolina,,0.46,0.44,,2515807,5435970,5717844,0.03,30647,102483,12358,94247,
1996,36,35,North Dakota,0.57,0.56,0.55,271850,266411,475898,481497,0.01,722,0,0,722,
1996,24,36,Ohio,0.57,0.55,0.54,4638108,4534434,8185999,8366250,0.02,46174,0,6331,52505,
1996,53,37,Oklahoma,0.51,0.51,0.49,1218248,1206713,2368311,2461718,0.02,19593,28090,2159,35797,
1996,72,38,Oregon,0.61,0.6,0.56,1399180,1377760,2309051,2445442,0.05,8661,0,0,8661,
1996,14,39,Pennsylvania,,0.5,0.49,,4506118,9063470,9283893,0.02,34537,0,0,34537,
1996,5,40,Rhode Island,,0.54,0.5,,390247,717041,781307,0.06,3271,20446,573,14067,
1996,48,41,South Carolina,0.44,0.42,0.41,1203486,1151422,2731064,2825088,0.02,20446,42417,5036,46691,
1996,37,42,South Dakota,0.62,0.61,0.6,329316,323826,529793,537038,0.01,2063,0,0,2063,
1996,54,43,Tennessee,,0.48,0.46,,1894105,3984092,4094014,0.02,15626,37002,8934,43061,
1996,49,44,Texas,,0.47,0.4,,5611644,12072149,13887542,0.1,132383,429329,112594,459642,
1996,67,45,Utah,0.52,0.5,0.48,691016,665629,1326919,1394017,0.05,0,0,0,0,
1996,6,46,Vermont,0.6,0.59,0.58,261469,258449,435687,443874,0.02,0,0,0,0,
1996,40,47,Virginia,0.51,0.5,0.47,2468229,2416642,4811632,5106297,0.05,27655,29620,9918,52383,
1996,73,48,Washington,0.6,0.59,0.54,2293895,2253867,3829308,4147127,0.06,12527,125780,560,75977,
1996,56,49,West Virginia,0.47,0.46,0.46,653331,636459,1386621,1400343,0.01,2749,5669,869,6453,
1996,25,50,Wisconsin,,0.58,0.57,,2196169,3763240,3886906,0.02,12991,47292,8222,44859,
1996,68,51,Wyoming,0.63,0.61,0.6,215844,211571,345112,353354,0.01,1499,3432,364,3579,
1994,0,0,United States,0,0.41,0.39,,75105860,182623348,195258350,0.06,1037855,1778797,513686,2440940,2228514
1994,41,1,Alabama,,0.39,0.38,,1201969,3095745,3170782,0.01,19573,32284,7235,42950,
1994,81,2,Alaska,0.54,0.53,0.51,216668,213404,399435,417053,0.03,3292,2899,412,5154,
1994,61,3,Arizona,0.4,0.39,0.36,1153724,1129607,2892171,3169857,0.08,19746,34365,4351,41280,
1994,42,4,Arkansas,,0.4,0.39,,716840,1801161,1849361,0.01,8643,19606,5224,23670,
1994,71,5,California,0.48,0.47,0.38,8900593,8658881,18479124,22721586,0.18,125605,0,85082,210687,
1994,62,6,Colorado,0.44,0.42,0.4,1173130,1116307,2648684,2785952,0.05,10717,0,2463,13180,
1994,1,7,Connecticut,0.5,0.49,0.46,1163829,1147084,2335579,2515100,0.06,14380,53453,1146,42253,
1994,11,8,Delaware,0.39,0.39,0.37,201560,199029,512941,540474,0.03,4466,15507,1029,13249,
1994,55,9,District of Columbia,0.45,0.45,0.4,186316,183649,411886,463680,0.09,10949,0,0,10949,
1994,43,10,Florida,0.44,0.43,0.38,4305340,4206659,9810247,11016840,0.09,57168,247014,20573,201248,
1994,44,11,Georgia,,0.31,0.29,,1545328,4978431,5293282,0.04,33425,140694,17505,121277,
1994,82,12,Hawaii,0.47,0.46,0.42,377011,369013,808904,882189,0.08,3333,0,0,3333,
1994,63,13,Idaho,0.54,0.53,0.51,419330,413346,784076,809957,0.03,2811,0,0,2811,
1994,21,14,Illinois,0.39,0.38,0.35,3219122,3106566,8175312,8819582,0.07,36531,0,0,36531,
1994,22,15,Indiana,0.38,0.36,0.36,1609481,1543568,4235008,4315664,0.02,15014,0,0,15014,
1994,31,16,Iowa,0.49,0.48,0.47,1022372,997248,2077709,2128370,0.02,5437,15902,3696,17084,
1994,32,17,Kansas,0.46,0.45,0.43,836251,820846,1837694,1893521,0.03,6371,0,0,6371,
1994,51,18,Kentucky,0.29,0.28,0.27,827541,784299,2829881,2879413,0.01,11066,11417,4380,21155,
1994,45,19,Louisiana,0.29,0.27,0.27,893758,826837,3038660,3109456,0.02,24063,0,0,24063,
1994,2,20,Maine,,0.56,0.55,,511733,918204,932164,0.02,0,0,0,0,
1994,52,21,Maryland,0.41,0.41,0.38,1437450,1410299,3480270,3751305,0.05,20998,76940,14795,74263,
1994,3,22,Massachusetts,0.51,0.5,0.47,2232186,2179945,4353287,4668100,0.07,0,0,0,0,
1994,23,23,Michigan,0.46,0.45,0.44,3177740,3089077,6856388,7081498,0.03,40631,0,0,40631,
1994,33,24,Minnesota,0.55,0.55,0.52,1794618,1772929,3253779,3385687,0.03,4575,81972,1904,47465,
1994,46,25,Mississippi,0.33,0.32,0.31,621096,608085,1903794,1935054,0.01,10930,9042,1519,16970,
1994,34,26,Missouri,,0.46,0.45,,1775116,3858946,3958762,0.01,17898,36295,12592,48638,
